fecha,estacion,temp_max_c,temp_min_c,temp_media_c,precipitacion_mm,humedad_relativa_pct,radiacion_solar_mj,viento_ms,riesgo_helada,anio,mes
2015-01-01,Huangascar,17.74,5.4,10.2,2.94,61.68,20.0,2.1,0,2015,1
2015-01-02,Huangascar,12.73,6.04,8.56,1.64,71.88,16.81,1.29,0,2015,1
2015-01-03,Huangascar,15.71,5.2,9.12,0.0,66.33,16.35,1.86,0,2015,1
2015-01-04,Huangascar,16.16,4.69,9.26,0.0,66.43,10.83,1.86,0,2015,1
2015-01-05,Huangascar,16.67,5.13,9.65,3.69,66.76,15.92,2.28,0,2015,1
2015-01-06,Huangascar,17.16,5.74,10.14,8.16,66.01,15.01,2.51,0,2015,1
2015-01-07,Huangascar,17.97,6.01,10.78,0.43,63.19,20.47,1.5,0,2015,1
2015-01-08,Huangascar,18.69,5.7,10.75,1.23,65.3,20.04,1.96,0,2015,1
2015-01-09,Huangascar,18.4,5.72,10.79,0.29,65.33,17.03,1.87,0,2015,1
2015-01-10,Huangascar,17.57,5.98,10.15,0.23,67.14,21.13,2.1,0,2015,1
2015-01-11,Huangascar,16.7,6.32,10.38,1.63,65.8,17.64,1.99,0,2015,1
2015-01-12,Huangascar,15.99,6.21,10.12,1.11,68.76,22.22,2.67,0,2015,1
2015-01-13,Huangascar,18.04,4.28,10.3,0.0,62.49,22.79,2.36,0,2015,1
2015-01-14,Huangascar,18.23,3.02,10.01,0.0,51.81,26.62,2.59,0,2015,1
2015-01-15,Huangascar,19.84,3.97,10.65,0.0,53.47,28.27,2.85,0,2015,1
2015-01-16,Huangascar,18.88,3.47,10.2,0.0,35.94,28.52,2.83,0,2015,1
2015-01-17,Huangascar,19.5,3.82,10.31,0.43,56.97,25.64,2.42,0,2015,1
2015-01-18,Huangascar,17.26,5.01,9.63,1.74,66.98,22.31,2.33,0,2015,1
2015-01-19,Huangascar,15.35,3.35,8.76,4.71,63.52,21.28,2.45,0,2015,1
2015-01-20,Huangascar,15.48,4.02,8.56,1.36,54.74,16.11,2.64,0,2015,1
2015-01-21,Huangascar,15.1,4.36,8.85,0.35,71.5,13.89,1.43,0,2015,1
2015-01-22,Huangascar,17.66,5.03,9.83,0.03,70.35,18.07,2.0,0,2015,1
2015-01-23,Huangascar,15.91,5.64,9.64,0.74,72.35,18.51,1.66,0,2015,1
2015-01-24,Huangascar,17.18,5.47,9.81,1.07,70.9,17.53,1.61,0,2015,1
2015-01-25,Huangascar,16.96,4.25,9.75,8.29,71.9,19.97,1.6,0,2015,1
2015-01-26,Huangascar,14.27,5.99,8.74,5.04,75.87,14.37,1.94,0,2015,1
2015-01-27,Huangascar,14.77,4.46,8.5,6.27,74.5,15.4,1.72,0,2015,1
2015-01-28,Huangascar,13.91,4.7,8.42,1.17,76.76,12.06,1.32,0,2015,1
2015-01-29,Huangascar,15.92,4.75,8.84,0.58,75.21,19.42,1.44,0,2015,1
2015-01-30,Huangascar,15.94,4.99,9.26,0.06,67.23,18.7,2.36,0,2015,1
2015-01-31,Huangascar,14.94,5.22,9.51,1.96,66.05,17.32,1.26,0,2015,1
2015-02-01,Huangascar,17.08,4.51,9.68,8.07,70.6,17.2,1.87,0,2015,2
2015-02-02,Huangascar,19.14,3.54,10.28,0.63,64.8,20.32,2.29,0,2015,2
2015-02-03,Huangascar,19.46,3.34,10.61,0.0,64.9,20.87,2.03,0,2015,2
2015-02-04,Huangascar,19.69,4.65,11.1,0.0,61.23,24.03,1.77,0,2015,2
2015-02-05,Huangascar,18.31,5.47,10.74,0.0,65.73,19.91,1.79,0,2015,2
2015-02-06,Huangascar,14.14,5.88,8.95,0.69,76.54,16.0,1.95,0,2015,2
2015-02-07,Huangascar,13.95,5.29,8.46,0.48,78.19,14.04,2.29,0,2015,2
2015-02-08,Huangascar,13.8,4.76,8.14,0.34,80.01,12.07,1.58,0,2015,2
2015-02-09,Huangascar,14.77,3.79,7.77,8.28,79.02,14.23,2.08,0,2015,2
2015-02-10,Huangascar,13.6,3.52,7.41,2.88,77.87,15.93,1.42,0,2015,2
2015-02-11,Huangascar,15.89,4.19,9.09,2.23,73.39,18.95,1.59,0,2015,2
2015-02-12,Huangascar,16.09,6.72,10.51,0.29,70.74,17.71,1.68,0,2015,2
2015-02-13,Huangascar,15.59,5.91,10.14,0.96,77.82,17.48,1.04,0,2015,2
2015-02-14,Huangascar,17.91,4.82,10.41,0.08,72.6,16.72,1.65,0,2015,2
2015-02-15,Huangascar,17.29,5.85,10.0,3.7,76.85,12.44,1.77,0,2015,2
2015-02-16,Huangascar,15.11,5.4,8.87,0.29,76.29,16.84,1.73,0,2015,2
2015-02-17,Huangascar,15.72,5.98,9.45,2.98,75.93,16.42,2.98,0,2015,2
